title,rent_type,district,sub_district,community,area,orientation,bedrooms,living_rooms,bathrooms,tags,platform,price
整租·北街家园六区 1室0厅 西,整租,昌平,沙河,北街家园六区,26.0,26.00㎡,1.0,0.0,1.0,自营|新上|集中供暖|押一付一|随时看房|首次出租,贝壳优选,2300
整租·雍和大厦 1室1厅 南,整租,东城,东直门,雍和大厦,92.1,92.10㎡,1.0,1.0,1.0,官方核验|近地铁|集中供暖,链家,14000
整租·金地悦景台 2室1厅 南,整租,顺义,后沙峪,金地悦景台,89.0,89.00㎡,2.0,1.0,1.0,官方核验|集中供暖,链家,5000
整租·安苑东里一区 2室1厅 南/北,整租,朝阳,惠新西街,安苑东里一区,57.99,57.99㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6200
整租·远洋万和城C区 3室2厅 南/北,整租,朝阳,亚运村小营,远洋万和城C区,245.75,245.75㎡,3.0,2.0,3.0,官方核验|精装|集中供暖,链家,44000
独栋·来住酒店式公寓 来住酒店式服务公寓 短租 独立卫浴集中供暖 地铁5分钟 拎包入住 开间,其他,,,,35.0,35.00㎡,1.0,0.0,1.0,独栋公寓|月租|近地铁|精装,来住酒店式公寓,3499
整租·珠江逸景 2室1厅 西,整租,通州,马驹桥,珠江逸景,84.41,84.41㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,4200
整租·北京机床研究所家属楼 2室1厅 南/北,整租,密云,溪翁庄镇,北京机床研究所家属楼,56.94,56.94㎡,2.0,1.0,1.0,官方核验|集中供暖|随时看房,链家,1000
独栋·柠檬晓生活国际公寓 7号线黄厂站店 双傍儿-合租-可月付-共用厨房卫生间-直租 1室1厅,合租,,,,30.0,30.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房,柠檬晓生活国际公寓,2300
整租·红莲南里 1室1厅 南,整租,西城,马连道,红莲南里,44.68,44.68㎡,1.0,1.0,1.0,官方核验|集中供暖,链家,4600
整租·丽泽雅园 2室1厅 东,整租,丰台,马连道,丽泽雅园,88.56,88.56㎡,2.0,1.0,1.0,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,6090
整租·四合上院 2室1厅 东南/西北,整租,西城,宣武门,四合上院,89.57,89.57㎡,2.0,1.0,1.0,官方核验|近地铁|精装|集中供暖,链家,14500
整租·花园小区 3室2厅 南/北,整租,密云,鼓楼街道,花园小区,135.8,135.80㎡,3.0,2.0,2.0,官方核验|集中供暖|双卫生间|随时看房,链家,1600
整租·长河湾 1室1厅 南,整租,海淀,西直门,长河湾,58.17,58.17㎡,1.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,7200
独栋·安家和美 立水桥地铁站店 当天看，当天住，近地铁，无中介，整租好房，独卫浴，有地暖 1室1厅,整租,,,,30.0,30.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房,安家和美,2850
整租·富成花园 5室2厅 南/北,整租,朝阳,亚运村小营,富成花园,431.76,431.76㎡,5.0,2.0,4.0,官方核验|近地铁,链家,115888
整租·沙子口路70号 2室1厅 南/西南,整租,东城,永定门,沙子口路70号,56.27,56.27㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,4600
整租·望京花园东区 2室1厅 东北,整租,朝阳,望京,望京花园东区,101.98,101.98㎡,2.0,1.0,1.0,自营|新上|近地铁|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6500
整租·东经路6号院 3室1厅 东/西,整租,西城,陶然亭,东经路6号院,107.2,107.20㎡,3.0,1.0,1.0,官方核验|近地铁|集中供暖|随时看房,链家,12000
整租·白露雅园东区 2室2厅 南/北,整租,顺义,后沙峪,白露雅园东区,99.13,99.13㎡,2.0,2.0,1.0,官方核验|精装|集中供暖,链家,4950
整租·甘露晴苑 2室1厅 西北,整租,朝阳,甘露园,甘露晴苑,74.92,74.92㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6300
整租·和悦华锦 3室1厅 南/北,整租,北京经济技术开发区,亦庄河西区,和悦华锦,89.0,89.00㎡,3.0,1.0,1.0,官方核验|集中供暖,链家,5000
整租·首开缇香郡二期 车库,整租,通州,通州其它,首开缇香郡二期,43.49,43.49㎡,,,,官方核验|精装|集中供暖,链家,160
整租·北纬40度一期 2室1厅 南/北,整租,朝阳,望京,北纬40度一期,94.25,94.25㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,8600
独栋·安家和美 立水桥地铁站店 整租，低价好房，独卫浴，有空调，可短租，可长住 1室1厅,整租,,,,25.0,25.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房,安家和美,2650
整租·旺座中心公寓 1室1厅 东,整租,朝阳,东大桥,旺座中心公寓,110.0,110.00㎡,1.0,1.0,1.0,官方核验|集中供暖,链家,9500
整租·金沟河17号院 2室1厅 南/北,整租,海淀,五棵松,金沟河17号院,61.3,61.30㎡,2.0,1.0,1.0,官方核验|精装|集中供暖,链家,5600
整租·呼家楼北街 1室1厅 南,整租,朝阳,红庙,呼家楼北街,43.86,43.86㎡,1.0,1.0,1.0,自营|新上|近地铁|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,5200
整租·加州水郡三期 2室1厅 西,整租,房山,长阳,加州水郡三期,87.38,87.38㎡,2.0,1.0,1.0,官方核验|精装,链家,3400
整租·旗舰凯旋二三期 2室1厅 南/北,整租,通州,九棵树(家乐福),旗舰凯旋二三期,77.53,77.53㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,3600
整租·农展南里 1室0厅 西南,整租,朝阳,农展馆,农展南里,45.0,45.00㎡,1.0,0.0,1.0,自营|新上|月租|精装|集中供暖|押一付一|随时看房,贝壳优选,6200
整租·龙湖蔚澜香醍 2室1厅 南/北,整租,通州,九棵树(家乐福),龙湖蔚澜香醍,89.37,89.37㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,5300
整租·丽嘉花园 5室2厅 复式 南/北,整租,顺义,中央别墅区,丽嘉花园,407.93,407.93㎡,5.0,2.0,4.0,官方核验|精装,链家,58000
整租·和平里中街3号院 3室1厅 南/北,整租,东城,和平里,和平里中街3号院,73.79,73.79㎡,3.0,1.0,1.0,自营|新上|近地铁|押一付一|随时看房,贝壳优选,6300
整租·天通中苑二区 3房间 东/西/北,整租,昌平,天通苑,天通中苑二区,135.34,135.34㎡,,,,官方核验|近地铁|集中供暖|双卫生间,链家,10000
独栋·安家和美 立水桥地铁站店 当天看，当天住，地铁近，无中介，整租好房，独卫浴 1室1厅,整租,,,,30.0,30.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房,安家和美,2800
整租·金沟河5号院 3室1厅 南/北,整租,海淀,五棵松,金沟河5号院,69.4,69.40㎡,3.0,1.0,1.0,自营|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6200
整租·德宝新园 3室1厅 复式 南/北,整租,西城,西直门,德宝新园,75.2,75.20㎡,3.0,1.0,1.0,官方核验|近地铁|精装|集中供暖|随时看房,链家,8400
独栋·安家和美 立水桥地铁站店 当天看，当天住，近地铁，无中介，整租好房，单独卫浴 1室1厅,整租,,,,30.0,30.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房,安家和美,2750
整租·高尔夫国际公寓 3室2厅 南/北,整租,朝阳,农展馆,高尔夫国际公寓,273.35,273.35㎡,3.0,2.0,2.0,官方核验|精装|集中供暖|双卫生间|随时看房,链家,32500
整租·通惠家园 2室1厅 南,整租,朝阳,四惠,通惠家园,75.0,75.00㎡,2.0,1.0,1.0,自营|新上|近地铁|精装|集中供暖|押一付一|随时看房,贝壳优选,6405
整租·苹果园小区二区 2室1厅 东/南,整租,石景山,苹果园,苹果园小区二区,58.44,58.44㎡,2.0,1.0,1.0,官方核验|精装|集中供暖,链家,4300
整租·澜西园三区 2室1厅 南/北,整租,顺义,顺义城,澜西园三区,91.65,91.65㎡,2.0,1.0,1.0,官方核验|精装|集中供暖,链家,3400
整租·甘露晴苑 2室1厅 西北,整租,朝阳,甘露园,甘露晴苑,74.92,74.92㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6300
独栋·安家和美 立水桥地铁站店 当天看，当天住，地铁近，无中介，整租好房，独卫浴 1室1厅,整租,,,,30.0,30.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房,安家和美,2800
整租·融科千章墅 3室1厅 南/北,整租,通州,通州其它,融科千章墅,256.38,256.38㎡,3.0,1.0,3.0,官方核验|精装,链家,16000
整租·紫金长安 3室1厅 东/南/西,整租,海淀,五棵松,紫金长安,129.1,129.10㎡,3.0,1.0,2.0,官方核验|精装|集中供暖|双卫生间|随时看房,链家,17000
整租·胜利小区 2室1厅 东/西,整租,顺义,顺义城,胜利小区,59.82,59.82㎡,2.0,1.0,1.0,自营|新上|近地铁|集中供暖|押一付一|随时看房|首次出租,贝壳优选,2600
整租·月桂庄园 4室2厅 复式 南/北,整租,大兴,西红门,月桂庄园,178.24,178.24㎡,4.0,2.0,3.0,官方核验|近地铁|精装|集中供暖,链家,10200
整租·红霞公寓 4室2厅 南/北,整租,东城,东单,红霞公寓,206.49,206.49㎡,4.0,2.0,2.0,官方核验|近地铁|集中供暖|双卫生间|随时看房,链家,29998
整租·兴海家园日苑 1室1厅 南,整租,大兴,西红门,兴海家园日苑,60.3,60.30㎡,1.0,1.0,1.0,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,3750
整租·马南里 3室1厅 南/北,整租,朝阳,中央别墅区,马南里,90.39,90.39㎡,3.0,1.0,1.0,官方核验|集中供暖|随时看房,链家,4900
整租·冠城名敦道A区 1室0厅 东,整租,东城,广渠门,冠城名敦道A区,93.0,93.00㎡,1.0,0.0,0.0,官方核验|集中供暖|随时看房,链家,13000
整租·金隅康惠园3号院 2室1厅 东南/南,整租,朝阳,双桥,金隅康惠园3号院,68.17,68.17㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,4500
独栋·魔方公寓 北京昌平沙河地铁站B店 可养猫咪，4站直达西二旗，免取暖哦、会员价 1室1厅,其他,,,,25.0,25.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,魔方公寓,3305
整租·晶城秀府 5室2厅 南/北,整租,丰台,成寿寺,晶城秀府,240.0,240.00㎡,5.0,2.0,3.0,官方核验,链家,15000
整租·恒富中街6号院 3室1厅 南/北,整租,丰台,科技园区,恒富中街6号院,141.48,141.48㎡,3.0,1.0,2.0,官方核验|近地铁|精装|集中供暖|双卫生间,链家,11500
整租·槐柏树街 2室1厅 东/西,整租,西城,长椿街,槐柏树街,57.0,57.00㎡,2.0,1.0,1.0,自营|新上|近地铁|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6200
整租·首开华润花香四季 2室1厅 南,整租,丰台,科技园区,首开华润花香四季,81.59,81.59㎡,2.0,1.0,1.0,官方核验|近地铁|精装|集中供暖|随时看房,链家,6800
整租·北京机床研究所家属楼 2室1厅 南/北,整租,密云,溪翁庄镇,北京机床研究所家属楼,59.53,59.53㎡,2.0,1.0,1.0,官方核验|集中供暖,链家,1400
整租·洋桥西里 3室1厅 南/北,整租,丰台,洋桥,洋桥西里,66.5,66.50㎡,3.0,1.0,1.0,自营|集中供暖|押一付一|随时看房|首次出租,贝壳优选,5000
整租·金地悦景台 2室1厅 南/北,整租,顺义,后沙峪,金地悦景台,88.82,88.82㎡,2.0,1.0,0.0,官方核验|精装|集中供暖|随时看房,链家,4500
整租·首开琅樾二期 4室2厅 复式 南/北,整租,朝阳,中央别墅区,首开琅樾二期,279.0,279.00㎡,4.0,2.0,3.0,官方核验|精装,链家,30000
整租·上龙西里 1室1厅 南,整租,东城,安定门,上龙西里,48.39,48.39㎡,1.0,1.0,1.0,自营|新上|近地铁|精装|集中供暖|押一付一|随时看房,贝壳优选,5250
整租·小中富乐二区 3室1厅 南/北,整租,怀柔,怀柔,小中富乐二区,85.26,85.26㎡,3.0,1.0,1.0,官方核验|月租|集中供暖|随时看房,链家,2400
独栋·魔方公寓 北京昌平沙河地铁站B店 沙河地铁超近，直达西土城，西二旗，中关村软件园，无中介费、 1室1厅,其他,,,,20.0,20.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,魔方公寓,3288
整租·芍药居 3室1厅 南/北,整租,朝阳,芍药居,芍药居,136.41,136.41㎡,3.0,1.0,2.0,自营|近地铁|集中供暖|押一付一|双卫生间|随时看房|首次出租,贝壳优选,12000
整租·玺源台 1室1厅 东,整租,西城,广安门,玺源台,60.11,60.11㎡,1.0,1.0,1.0,官方核验|近地铁|精装|集中供暖|随时看房,链家,7800
独栋·魔方公寓 北京昌平沙河地铁站B店 沙河站200米，配套齐全，免费集中供暖，可月付哦、住12免1！专享会员价！ 1室1厅,其他,,,,25.0,25.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,魔方公寓,3372
整租·远洋山水 1室1厅 南,整租,石景山,鲁谷,远洋山水,60.0,60.00㎡,1.0,1.0,1.0,官方核验|集中供暖|随时看房,链家,4500
整租·朝丰家园6号院 3室2厅 南/北,整租,朝阳,豆各庄,朝丰家园6号院,103.0,103.00㎡,3.0,2.0,2.0,自营|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,5300
整租·阳光广场 2室1厅 东/西,整租,朝阳,亚运村,阳光广场,136.41,136.41㎡,2.0,1.0,1.0,官方核验|近地铁|集中供暖,链家,11800
整租·自在香山 5室2厅 南/北,整租,海淀,西山,自在香山,380.0,380.00㎡,5.0,2.0,3.0,官方核验|随时看房,链家,28900
整租·东亚瑞晶苑 2室1厅 南/北,整租,通州,马驹桥,东亚瑞晶苑,81.0,81.00㎡,2.0,1.0,1.0,自营|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,4000
独栋·魔方公寓 北京昌平沙河地铁站B店 可养猫咪，4站直达西二旗，免取暖哦、会员价 1室1厅,其他,,,,25.0,25.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,魔方公寓,3305
整租·东南园 1室1厅 南,整租,西城,宣武门,东南园,37.0,37.00㎡,1.0,1.0,1.0,官方核验|近地铁|精装|随时看房,链家,4900
整租·远洋一方润园6号院 2室1厅 南/北,整租,朝阳,双桥,远洋一方润园6号院,89.79,89.79㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,4000
整租·北京香颂三期 3室2厅 南/北,整租,朝阳,望京,北京香颂三期,143.0,143.00㎡,3.0,2.0,2.0,自营|近地铁|精装|集中供暖|押一付一|双卫生间|随时看房|首次出租,贝壳优选,10000
整租·马坡花园一区 4室3厅 复式 南/北,整租,顺义,马坡,马坡花园一区,266.91,266.91㎡,4.0,3.0,4.0,官方核验|精装|集中供暖,链家,7500
整租·枣林前街 2室1厅 南/北,整租,西城,牛街,枣林前街,54.99,54.99㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,6500
整租·复兴路61号院 1室1厅 南,整租,海淀,万寿路,复兴路61号院,39.9,39.90㎡,1.0,1.0,1.0,自营|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,5000
整租·景粼原著 3室1厅 南,整租,朝阳,中央别墅区,景粼原著,125.0,125.00㎡,3.0,1.0,2.0,官方核验|精装|集中供暖|双卫生间|随时看房,链家,13000
整租·石园北区 3室1厅 南/北,整租,顺义,顺义城,石园北区,103.0,103.00㎡,3.0,1.0,1.0,官方核验|集中供暖|随时看房,链家,3100
整租·酒仙桥十街坊 2室1厅 南,整租,朝阳,酒仙桥,酒仙桥十街坊,52.7,52.70㎡,2.0,1.0,1.0,自营|近地铁|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,5000
独栋·魔方公寓 北京褡裢坡店 特惠定福庄整租一居室，褡裢坡地铁站6号线，长租优惠 1室1厅,整租,,,,28.0,28.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,魔方公寓,3625
整租·长阳半岛祥云墅 6房间 南/北,整租,房山,长阳,长阳半岛祥云墅,213.83,213.83㎡,,,,官方核验|集中供暖|双卫生间|随时看房,链家,14500
整租·中海国际公馆 5室3厅 复式 南/北,整租,顺义,顺义城,中海国际公馆,272.68,272.68㎡,5.0,3.0,3.0,官方核验|集中供暖|随时看房,链家,13000
整租·定慧福里北区 3室1厅 南/北,整租,海淀,定慧寺,定慧福里北区,107.14,107.14㎡,3.0,1.0,1.0,自营|集中供暖|押一付一|随时看房|首次出租,贝壳优选,7800
整租·影人峰汇 3房间 南/北,整租,怀柔,怀柔,影人峰汇,129.0,129.00㎡,,,,官方核验|精装|集中供暖,链家,6800
整租·长安小区 2室1厅 南/北,整租,密云,鼓楼街道,长安小区,103.03,103.03㎡,2.0,1.0,1.0,官方核验|集中供暖,链家,2100
整租·南湖东园二区 2室1厅 南/北,整租,朝阳,望京,南湖东园二区,62.35,62.35㎡,2.0,1.0,1.0,自营|近地铁|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6000
整租·鹭峯国际 4房间 东南,整租,顺义,顺义其它,鹭峯国际,133.7,133.70㎡,,,,官方核验|精装|集中供暖|双卫生间|随时看房,链家,5700
整租·美林香槟小镇 4室2厅 复式 南/北,整租,顺义,中央别墅区,美林香槟小镇,286.14,286.14㎡,4.0,2.0,3.0,官方核验|精装,链家,31500
整租·保利罗谷小区 2室1厅 东/西,整租,昌平,昌平其它,保利罗谷小区,83.0,83.00㎡,2.0,1.0,1.0,自营|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,3300
整租·永旭嘉园 2室1厅 南,整租,大兴,瀛海,永旭嘉园,88.25,88.25㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,4200
独栋·魔方公寓 北京褡裢坡店 定福庄近地铁长租特价 6号线朝阳大悦城附近 1室1厅,其他,,,,30.0,30.00㎡,1.0,1.0,1.0,新上|独栋公寓|月租|近地铁|精装|押一付一,魔方公寓,3650
整租·苹果社区北区 1室0厅 北,整租,朝阳,双井,苹果社区北区,54.94,54.94㎡,1.0,0.0,1.0,自营|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,5600
整租·珠江国际城一区 5室2厅 跃层 南/北,整租,通州,潞苑,珠江国际城一区,242.81,242.81㎡,5.0,2.0,3.0,官方核验|精装|随时看房,链家,12800
独栋·魔方公寓 北京褡裢坡店 季付免押金丨6号线 褡裢坡直达朝阳大悦城 地铁500米 1室1厅,其他,,,,30.0,30.00㎡,1.0,1.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,魔方公寓,3608
整租·潘家园小区 2室1厅 南/北,整租,怀柔,怀柔,潘家园小区,65.59,65.59㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,2100
整租·东亚尚品台湖 1房间 西,整租,通州,通州其它,东亚尚品台湖,36.87,36.87㎡,,,,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,2200
整租·水星园 3室2厅 东/东南/西北,整租,朝阳,太阳宫,水星园,130.4,130.40㎡,3.0,2.0,2.0,官方核验|近地铁|集中供暖|双卫生间,链家,18000
整租·清欣园甲区 6室2厅 南/北,整租,大兴,旧宫,清欣园甲区,220.9,220.90㎡,6.0,2.0,2.0,官方核验|精装|集中供暖|押一付一|双卫生间|随时看房,链家,9800
整租·DBC加州小镇 1室1厅 南/北,整租,通州,临河里,DBC加州小镇,62.27,62.27㎡,1.0,1.0,1.0,自营|新上|押一付一|随时看房|首次出租,贝壳优选,3000
独栋·中海友里公寓 中海友里苏庄地铁站店 央企直租 暖冬短租限时优惠 地铁口  整租一居 可短租 无中介费 无服务费 免费健身房 开间,整租,,,,27.23,6间在租,1.0,0.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,中海友里公寓,0
整租·东方太阳城 1室2厅 南/北,整租,顺义,顺义其它,东方太阳城,77.52,77.52㎡,1.0,2.0,1.0,官方核验|集中供暖|随时看房,链家,3500
整租·西山国际城 2室1厅 复式 南/北,整租,海淀,田村,西山国际城,58.77,58.77㎡,2.0,1.0,2.0,官方核验|近地铁|集中供暖|双卫生间|随时看房,链家,7000
整租·水郡长安 2室1厅 北,整租,朝阳,双桥,水郡长安,112.81,112.81㎡,2.0,1.0,2.0,自营|新上|近地铁|集中供暖|押一付一|双卫生间|随时看房|首次出租,贝壳优选,5700
整租·通州富力中心A 5房间 东北,整租,通州,武夷花园,通州富力中心A,105.0,105.00㎡,,,,官方核验|近地铁|精装|集中供暖|双卫生间,链家,6950
整租·金茂府南区 3房间 西北,整租,朝阳,大望路,金茂府南区,114.0,114.00㎡,,,,官方核验|精装|集中供暖,链家,18000
整租·刘家窑南里 2室1厅 南/北,整租,丰台,蒲黄榆,刘家窑南里,65.8,65.80㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,4800
整租·玉兰苑 3室1厅 南,整租,顺义,顺义城,玉兰苑,110.0,110.00㎡,3.0,1.0,2.0,官方核验|近地铁|精装|集中供暖|双卫生间,链家,5000
整租·燕西台 4室2厅 复式 南/北,整租,海淀,西山,燕西台,400.0,400.00㎡,4.0,2.0,4.0,官方核验|精装,链家,28000
整租·合景领峰10号院 2房间 南,整租,房山,长阳,合景领峰10号院,46.02,46.02㎡,,,,官方核验|精装|集中供暖,链家,2600
独栋·中海友里公寓 中海友里苏庄地铁站店 暖冬短租专属优惠 央企直租  出门即地铁口 整租一居 可短租  免中介费  可月付 开间,整租,,,,42.27,6间在租,1.0,0.0,1.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,中海友里公寓,0
整租·古韵新居 1室0厅 南,整租,通州,潞苑,古韵新居,47.16,47.16㎡,1.0,0.0,1.0,官方核验|集中供暖,链家,3000
整租·世纪家园 3室1厅 南/北,整租,密云,鼓楼街道,世纪家园,94.0,94.00㎡,3.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,2200
整租·丰融园 5室2厅 南/西/北,整租,西城,金融街,丰融园,218.8,218.80㎡,5.0,2.0,2.0,官方核验|精装|集中供暖|双卫生间,链家,43000
整租·怡海花园恒丰园 2室1厅 东南/北,整租,丰台,玉泉营,怡海花园恒丰园,132.0,132.00㎡,2.0,1.0,1.0,官方核验|近地铁|精装|集中供暖,链家,9500
整租·北京机床研究所家属楼 2室1厅 南/北,整租,密云,溪翁庄镇,北京机床研究所家属楼,51.8,51.80㎡,2.0,1.0,1.0,官方核验|集中供暖|随时看房,链家,750
整租·万科四季花城 3室1厅 南/北,整租,顺义,顺义城,万科四季花城,124.7,124.70㎡,3.0,1.0,1.0,官方核验|近地铁|精装|集中供暖|随时看房,链家,5500
整租·首开中晟广场 3房间 复式 南,整租,顺义,马坡,首开中晟广场,54.89,54.89㎡,,,,官方核验|精装|集中供暖,链家,2800
整租·北京天誉 3室2厅 南/北,整租,丰台,十里河,北京天誉,150.0,150.00㎡,3.0,2.0,2.0,官方核验|近地铁|精装|集中供暖|双卫生间,链家,28000
整租·卓锦万代 7室4厅 复式 南/北,整租,朝阳,中央别墅区,卓锦万代,900.0,900.00㎡,7.0,4.0,6.0,官方核验|精装,链家,59000
整租·祥云赋 3室1厅 南/北,整租,顺义,后沙峪,祥云赋,90.0,90.00㎡,3.0,1.0,1.0,官方核验|精装,链家,8000
