city,title,price,price_per_sqm,area,bedrooms,living_rooms,bathrooms,floor,total_floors,orientation,district,subway,agency,url,scrape_time,layout_type,orientation_clean,price_category,area_category,floor_category
广州,优质1居室,2488,85.64853602047718,69.03487420340974,3,2,1,26,30,西南,海淀区,False,麦田房产,https://example.com/listing/25,2025-12-11 20:56:45,3居,西南,低价,中等,高楼层
广州,优质3居室,9114,272.52425879595205,138.11530748285617,1,2,1,16,24,西北,武侯区,False,麦田房产,https://example.com/listing/26,2025-12-11 20:56:45,1居,西北,中低价,大户型,中楼层
上海,优质2居室,17740,136.46936518446435,149.53892081985344,4,1,2,13,26,南北,朝阳区,False,链家,https://example.com/listing/27,2025-12-11 20:56:45,四居及以上,南北,高价,大户型,中楼层
深圳,优质3居室,5173,88.61493680583095,129.04987969487377,3,2,1,7,15,西,浦东新区,True,麦田房产,https://example.com/listing/28,2025-12-11 20:56:45,3居,西,低价,大户型,中楼层
深圳,优质3居室,3667,56.36193997643772,131.38456173062747,4,2,1,1,14,南,浦东新区,True,麦田房产,https://example.com/listing/29,2025-12-11 20:56:45,四居及以上,南,低价,大户型,低楼层
广州,优质3居室,6114,211.45559657162107,59.88104833309079,1,2,1,26,28,西南,海淀区,False,链家,https://example.com/listing/30,2025-12-11 20:56:45,1居,西南,低价,中等,高楼层
深圳,优质1居室,5553,209.2255793636858,99.20428786293076,3,1,2,16,29,北,海淀区,True,链家,https://example.com/listing/31,2025-12-11 20:56:45,3居,北,低价,较大,中楼层
深圳,优质3居室,9761,135.15104164532292,38.07070967608414,4,2,2,1,16,东,武侯区,True,麦田房产,https://example.com/listing/32,2025-12-11 20:56:45,四居及以上,东,中低价,小户型,低楼层
北京,优质1居室,3000,67.92797221191276,41.390152418600366,1,2,1,17,25,西北,南山区,True,个人,https://example.com/listing/33,2025-12-11 20:56:45,1居,西北,低价,小户型,中楼层
广州,优质1居室,17638,152.407223723808,149.86711344399487,4,1,2,6,32,南北,朝阳区,False,麦田房产,https://example.com/listing/34,2025-12-11 20:56:45,四居及以上,南北,高价,大户型,低楼层
成都,优质1居室,19772,127.8043737658484,69.19670993110931,2,1,2,2,10,南北,天府新区,True,中原地产,https://example.com/listing/35,2025-12-11 20:56:45,2居,南北,高价,中等,低楼层
广州,优质2居室,7450,219.28015993375234,119.78206944586157,1,1,2,17,31,南,南山区,False,中原地产,https://example.com/listing/36,2025-12-11 20:56:45,1居,南,中低价,大户型,中楼层
成都,优质1居室,5712,201.4448123631726,126.79980636321798,1,1,2,6,24,南北,南山区,True,中原地产,https://example.com/listing/37,2025-12-11 20:56:45,1居,南北,低价,大户型,低楼层
北京,优质1居室,3367,141.148432049385,132.9627925208675,1,1,2,14,9,东北,海淀区,True,我爱我家,https://example.com/listing/38,2025-12-11 20:56:45,1居,东北,低价,大户型,高楼层
上海,优质2居室,10189,104.47313856374753,149.71539568825878,3,2,2,18,27,东南,海淀区,False,中原地产,https://example.com/listing/39,2025-12-11 20:56:45,3居,东南,中低价,大户型,中楼层
深圳,优质1居室,11013,297.00899153889793,58.979578230824146,3,2,1,6,13,东北,海淀区,True,个人,https://example.com/listing/40,2025-12-11 20:56:45,3居,东北,中低价,小户型,中楼层
北京,优质3居室,18838,163.50040529902873,34.84209922316396,3,2,2,10,30,南北,南山区,True,我爱我家,https://example.com/listing/41,2025-12-11 20:56:45,3居,南北,高价,小户型,中楼层
深圳,优质3居室,5726,222.06855894505927,79.34298215935031,2,1,2,24,31,西北,朝阳区,False,我爱我家,https://example.com/listing/42,2025-12-11 20:56:45,2居,西北,低价,中等,高楼层
上海,优质1居室,6806,85.1382418945902,45.60968037947363,2,2,1,18,33,西南,海淀区,False,中原地产,https://example.com/listing/43,2025-12-11 20:56:45,2居,西南,中低价,小户型,中楼层
上海,优质2居室,4190,171.39742491484947,32.691106699446614,1,1,1,27,20,北,浦东新区,True,麦田房产,https://example.com/listing/44,2025-12-11 20:56:45,1居,北,低价,小户型,高楼层
北京,优质3居室,11108,56.88417996736637,73.25121925697833,2,1,1,9,26,东,朝阳区,False,链家,https://example.com/listing/45,2025-12-11 20:56:45,2居,东,中低价,中等,中楼层
上海,优质2居室,14178,176.36377947761247,124.04859012902837,4,2,1,8,18,西南,浦东新区,False,麦田房产,https://example.com/listing/46,2025-12-11 20:56:45,四居及以上,西南,中高价,大户型,中楼层
成都,优质2居室,4875,291.0043517794256,97.9416829470085,1,1,2,28,26,西,朝阳区,False,麦田房产,https://example.com/listing/47,2025-12-11 20:56:45,1居,西,低价,较大,高楼层
上海,优质3居室,7592,146.05167824645005,67.53335870524248,1,1,2,10,12,西南,海淀区,True,我爱我家,https://example.com/listing/48,2025-12-11 20:56:45,1居,西南,中低价,中等,高楼层
深圳,优质2居室,19824,59.7490031437279,108.52104065912637,4,2,2,17,31,西南,天府新区,True,我爱我家,https://example.com/listing/49,2025-12-11 20:56:45,四居及以上,西南,高价,较大,中楼层
深圳,优质3居室,14592,57.738947729835886,57.84218163705729,1,1,2,23,24,北,武侯区,False,我爱我家,https://example.com/listing/50,2025-12-11 20:56:45,1居,北,中高价,小户型,高楼层
深圳,优质2居室,10927,146.99668998671737,31.7257735286502,2,1,1,29,23,南,海淀区,False,个人,https://example.com/listing/51,2025-12-11 20:56:45,2居,南,中低价,小户型,高楼层
深圳,优质3居室,16437,90.00623411579852,121.72240637237128,3,2,2,26,18,南北,南山区,True,个人,https://example.com/listing/52,2025-12-11 20:56:45,3居,南北,高价,大户型,高楼层
成都,优质1居室,13530,55.83802408204648,104.8491701836811,4,1,2,6,11,南,天府新区,True,链家,https://example.com/listing/53,2025-12-11 20:56:45,四居及以上,南,中高价,较大,中楼层
广州,优质3居室,9010,239.05340348754422,121.4763149401152,2,1,1,14,9,西,南山区,True,我爱我家,https://example.com/listing/54,2025-12-11 20:56:45,2居,西,中低价,大户型,高楼层
北京,优质3居室,13207,164.6307522204727,34.672562002519875,4,2,2,22,22,东,朝阳区,True,中原地产,https://example.com/listing/55,2025-12-11 20:56:45,四居及以上,东,中高价,小户型,高楼层
深圳,优质3居室,4989,122.31119299316363,130.45435533967827,4,2,2,22,6,东北,南山区,True,我爱我家,https://example.com/listing/56,2025-12-11 20:56:45,四居及以上,东北,低价,大户型,高楼层
上海,优质3居室,14040,275.0207957541202,104.3431440043564,1,2,2,6,15,东,天府新区,True,个人,https://example.com/listing/57,2025-12-11 20:56:45,1居,东,中高价,较大,中楼层
深圳,优质2居室,11218,79.0347400501314,97.60744208551682,1,2,2,26,26,南北,天府新区,False,我爱我家,https://example.com/listing/58,2025-12-11 20:56:45,1居,南北,中高价,较大,高楼层
上海,优质1居室,8471,288.9797072388298,104.95368577374379,2,1,1,7,12,东,海淀区,True,个人,https://example.com/listing/59,2025-12-11 20:56:45,2居,东,中低价,较大,中楼层
上海,优质3居室,4863,128.4916793443382,133.7319896242037,4,1,1,12,5,东南,浦东新区,False,我爱我家,https://example.com/listing/60,2025-12-11 20:56:45,四居及以上,东南,低价,大户型,高楼层
深圳,优质2居室,12693,272.1009180771703,100.43238078706885,1,2,1,3,31,东北,海淀区,True,中原地产,https://example.com/listing/61,2025-12-11 20:56:45,1居,东北,中高价,较大,低楼层
成都,优质1居室,3177,200.7357191198654,99.71404558658152,1,1,1,14,26,西,朝阳区,True,链家,https://example.com/listing/62,2025-12-11 20:56:45,1居,西,低价,较大,中楼层
上海,优质1居室,6760,256.67683993537185,148.8814988478919,4,1,1,22,16,南北,南山区,True,中原地产,https://example.com/listing/63,2025-12-11 20:56:45,四居及以上,南北,低价,大户型,高楼层
上海,优质1居室,2011,296.0032908026161,120.80762004822816,2,2,2,19,6,西北,浦东新区,True,个人,https://example.com/listing/64,2025-12-11 20:56:45,2居,西北,低价,大户型,高楼层
深圳,优质1居室,18353,122.10135945468643,83.07525665413624,2,2,2,23,22,西,武侯区,False,麦田房产,https://example.com/listing/65,2025-12-11 20:56:45,2居,西,高价,中等,高楼层
上海,优质3居室,13556,290.28387135189826,114.88764000395133,4,1,1,16,11,东南,天府新区,False,中原地产,https://example.com/listing/66,2025-12-11 20:56:45,四居及以上,东南,中高价,较大,高楼层
上海,优质3居室,13563,147.3704737256051,76.70765660301461,2,2,1,7,30,东北,浦东新区,True,我爱我家,https://example.com/listing/67,2025-12-11 20:56:45,2居,东北,中高价,中等,低楼层
深圳,优质2居室,16051,146.3779761842306,57.46505549801988,1,2,1,8,21,北,浦东新区,True,链家,https://example.com/listing/68,2025-12-11 20:56:45,1居,北,高价,小户型,中楼层
深圳,优质2居室,13022,135.0967760636264,101.62222522653113,4,2,2,18,26,东南,海淀区,True,我爱我家,https://example.com/listing/69,2025-12-11 20:56:45,四居及以上,东南,中高价,较大,中楼层
北京,优质2居室,10234,185.3519018368963,141.38185177367416,1,1,1,25,34,西,武侯区,False,我爱我家,https://example.com/listing/70,2025-12-11 20:56:45,1居,西,中低价,大户型,高楼层
成都,优质1居室,18173,88.53626079462177,141.49674240185553,3,2,2,13,27,南北,天府新区,False,中原地产,https://example.com/listing/71,2025-12-11 20:56:45,3居,南北,高价,大户型,中楼层
成都,优质1居室,15178,188.4278713395028,71.02863337265885,3,1,2,21,18,南北,朝阳区,True,链家,https://example.com/listing/72,2025-12-11 20:56:45,3居,南北,中高价,中等,高楼层
上海,优质3居室,8570,185.426203102501,93.3212959466034,2,1,2,9,28,东北,朝阳区,False,麦田房产,https://example.com/listing/73,2025-12-11 20:56:45,2居,东北,中低价,较大,中楼层
成都,优质1居室,2406,240.4754531512175,55.39630782838334,3,1,2,10,11,南,浦东新区,False,我爱我家,https://example.com/listing/74,2025-12-11 20:56:45,3居,南,低价,小户型,高楼层
上海,优质1居室,11206,258.41249048439636,149.475733139866,1,2,1,21,26,东北,浦东新区,True,链家,https://example.com/listing/75,2025-12-11 20:56:45,1居,东北,中低价,大户型,高楼层
北京,优质1居室,6431,160.110337578106,147.73414894415228,3,2,2,23,29,东北,南山区,True,麦田房产,https://example.com/listing/76,2025-12-11 20:56:45,3居,东北,低价,大户型,高楼层
深圳,优质2居室,8542,125.58331233787344,107.94107156489368,1,2,2,27,33,东南,武侯区,False,我爱我家,https://example.com/listing/77,2025-12-11 20:56:45,1居,东南,中低价,较大,高楼层
深圳,优质2居室,10906,114.83372432927362,126.5296871612968,2,2,1,9,7,南北,天府新区,False,链家,https://example.com/listing/78,2025-12-11 20:56:45,2居,南北,中低价,大户型,高楼层
深圳,优质3居室,6146,98.65595917621798,115.812019354044,2,2,2,15,31,西,浦东新区,True,中原地产,https://example.com/listing/79,2025-12-11 20:56:45,2居,西,低价,较大,中楼层
成都,优质1居室,14046,64.41189554975622,101.17898628473618,1,1,2,20,10,北,南山区,True,我爱我家,https://example.com/listing/80,2025-12-11 20:56:45,1居,北,中高价,较大,高楼层
北京,优质1居室,14611,135.61199470867834,36.40175963866773,3,1,2,2,24,东,武侯区,True,我爱我家,https://example.com/listing/81,2025-12-11 20:56:45,3居,东,中高价,小户型,低楼层
成都,优质3居室,15076,117.56192303269582,84.57172110631933,2,1,1,25,6,西南,天府新区,True,链家,https://example.com/listing/82,2025-12-11 20:56:45,2居,西南,中高价,中等,高楼层
成都,优质1居室,18524,291.60434646660184,110.97435626008927,4,2,2,13,21,北,朝阳区,False,我爱我家,https://example.com/listing/83,2025-12-11 20:56:45,四居及以上,北,高价,较大,中楼层
北京,优质1居室,6882,189.42720656251097,111.30379366604215,2,1,2,2,16,东,南山区,True,麦田房产,https://example.com/listing/84,2025-12-11 20:56:45,2居,东,中低价,较大,低楼层
北京,优质2居室,16113,136.81925975762687,74.77471421068603,3,1,1,19,16,南,武侯区,False,我爱我家,https://example.com/listing/85,2025-12-11 20:56:45,3居,南,高价,中等,高楼层
北京,优质3居室,15645,195.116900248424,143.00303839896367,4,2,1,26,34,西,南山区,False,个人,https://example.com/listing/86,2025-12-11 20:56:45,四居及以上,西,高价,大户型,高楼层
北京,优质3居室,8012,84.79917533642387,50.08284386841372,3,2,2,2,21,南北,浦东新区,True,麦田房产,https://example.com/listing/87,2025-12-11 20:56:45,3居,南北,中低价,小户型,低楼层
深圳,优质3居室,19347,161.01093730055072,90.04313354586728,1,1,2,3,31,西北,海淀区,True,链家,https://example.com/listing/88,2025-12-11 20:56:45,1居,西北,高价,较大,低楼层
广州,优质3居室,9151,206.55858035526595,112.90607718609874,4,1,1,6,14,东北,朝阳区,True,麦田房产,https://example.com/listing/89,2025-12-11 20:56:45,四居及以上,东北,中低价,较大,中楼层
广州,优质2居室,5610,172.22445794811284,113.6562967070171,3,2,2,3,7,北,浦东新区,False,个人,https://example.com/listing/90,2025-12-11 20:56:45,3居,北,低价,较大,中楼层
北京,优质2居室,11884,150.44470016358105,107.83667481225787,4,2,1,10,24,东,浦东新区,True,个人,https://example.com/listing/91,2025-12-11 20:56:45,四居及以上,东,中高价,较大,中楼层
广州,优质1居室,8894,298.46209722492455,63.03458561422322,3,2,2,24,22,西北,武侯区,False,我爱我家,https://example.com/listing/92,2025-12-11 20:56:45,3居,西北,中低价,中等,高楼层
广州,优质1居室,15467,270.07869053723175,48.744788242394634,4,2,1,27,17,北,南山区,False,我爱我家,https://example.com/listing/93,2025-12-11 20:56:45,四居及以上,北,中高价,小户型,高楼层
北京,优质1居室,18489,205.85148953986004,106.3128392192053,3,1,2,6,16,西,朝阳区,True,中原地产,https://example.com/listing/94,2025-12-11 20:56:45,3居,西,高价,较大,中楼层
广州,优质1居室,11873,192.3443402955707,101.91625393673253,1,1,1,23,31,南北,浦东新区,False,麦田房产,https://example.com/listing/95,2025-12-11 20:56:45,1居,南北,中高价,较大,高楼层
成都,优质2居室,14289,205.16511995614601,51.52272123470892,4,2,1,16,31,北,武侯区,False,中原地产,https://example.com/listing/96,2025-12-11 20:56:45,四居及以上,北,中高价,小户型,中楼层
上海,优质3居室,14208,100.32802695560832,114.6166974684676,4,1,1,17,34,北,朝阳区,True,个人,https://example.com/listing/97,2025-12-11 20:56:45,四居及以上,北,中高价,较大,中楼层
上海,优质2居室,12828,148.78443581607965,84.62063900803878,4,1,1,19,31,南北,南山区,True,我爱我家,https://example.com/listing/98,2025-12-11 20:56:45,四居及以上,南北,中高价,中等,中楼层
北京,优质1居室,4137,59.86488322272483,110.13127099237835,4,2,1,3,21,南,浦东新区,False,我爱我家,https://example.com/listing/99,2025-12-11 20:56:45,四居及以上,南,低价,较大,低楼层
深圳,优质2居室,3286,168.88650937170667,130.4840495724181,1,1,2,18,8,东南,天府新区,False,我爱我家,https://example.com/listing/100,2025-12-11 20:56:45,1居,东南,低价,大户型,高楼层
北京,优质3居室,17710,185.75614598941578,50.36741142923078,4,1,2,7,27,北,浦东新区,True,链家,https://example.com/listing/101,2025-12-11 20:56:45,四居及以上,北,高价,小户型,低楼层
深圳,优质3居室,13371,106.93743402580239,32.2973841596204,2,1,1,9,14,南北,浦东新区,True,个人,https://example.com/listing/102,2025-12-11 20:56:45,2居,南北,中高价,小户型,中楼层
上海,优质2居室,17945,291.00721179137844,123.49231036749441,1,2,2,20,15,东南,朝阳区,True,我爱我家,https://example.com/listing/103,2025-12-11 20:56:45,1居,东南,高价,大户型,高楼层
北京,优质2居室,9052,277.3636527343105,103.16369101831391,2,2,2,12,10,南北,朝阳区,False,个人,https://example.com/listing/104,2025-12-11 20:56:45,2居,南北,中低价,较大,高楼层
成都,优质2居室,5654,230.53580886397646,113.95674835465461,4,1,2,5,10,南北,朝阳区,True,我爱我家,https://example.com/listing/105,2025-12-11 20:56:45,四居及以上,南北,低价,较大,中楼层
广州,优质1居室,17600,183.34665719134065,130.57859699863712,3,2,2,3,31,南,朝阳区,True,麦田房产,https://example.com/listing/106,2025-12-11 20:56:45,3居,南,高价,大户型,低楼层
深圳,优质2居室,10636,267.49228991192126,126.33731217894007,2,2,2,11,13,南北,武侯区,False,个人,https://example.com/listing/107,2025-12-11 20:56:45,2居,南北,中低价,大户型,高楼层
广州,优质2居室,8441,82.66308595586572,145.31041763145896,4,2,2,25,34,西,海淀区,True,中原地产,https://example.com/listing/108,2025-12-11 20:56:45,四居及以上,西,中低价,大户型,高楼层
广州,优质2居室,11667,247.62744856872123,94.31220946225419,2,1,1,4,19,北,武侯区,False,链家,https://example.com/listing/109,2025-12-11 20:56:45,2居,北,中高价,较大,低楼层
北京,优质3居室,14149,81.20520349171207,88.61947591918864,4,1,2,5,6,东,浦东新区,True,中原地产,https://example.com/listing/110,2025-12-11 20:56:45,四居及以上,东,中高价,中等,高楼层
广州,优质3居室,3798,248.55266563735137,78.22646398688761,4,2,2,1,8,东,武侯区,False,个人,https://example.com/listing/111,2025-12-11 20:56:45,四居及以上,东,低价,中等,低楼层
成都,优质1居室,11600,118.94189206283924,48.44292514130454,4,1,2,27,9,东,南山区,True,我爱我家,https://example.com/listing/112,2025-12-11 20:56:45,四居及以上,东,中高价,小户型,高楼层
广州,优质1居室,7495,269.27264525454723,98.71286794584269,3,1,1,28,21,南北,天府新区,False,个人,https://example.com/listing/113,2025-12-11 20:56:45,3居,南北,中低价,较大,高楼层
北京,优质3居室,11900,286.01052345634946,63.24150291911745,2,1,2,29,12,西北,朝阳区,False,链家,https://example.com/listing/114,2025-12-11 20:56:45,2居,西北,中高价,中等,高楼层
成都,优质3居室,15673,87.19899235127892,140.55690146555708,1,1,2,18,12,东南,南山区,True,个人,https://example.com/listing/115,2025-12-11 20:56:45,1居,东南,高价,大户型,高楼层
上海,优质3居室,13130,165.66890126634837,99.9828965132517,1,1,2,12,26,东南,天府新区,True,我爱我家,https://example.com/listing/116,2025-12-11 20:56:45,1居,东南,中高价,较大,中楼层
广州,优质2居室,17222,295.2468445406713,101.14082166097322,1,2,1,13,16,南北,南山区,True,中原地产,https://example.com/listing/117,2025-12-11 20:56:45,1居,南北,高价,较大,高楼层
北京,优质2居室,3300,170.85185899328667,72.5909593052412,1,1,2,9,25,西,浦东新区,True,麦田房产,https://example.com/listing/118,2025-12-11 20:56:45,1居,西,低价,中等,中楼层
上海,优质3居室,11435,265.8868806286363,36.2387222373249,4,1,1,2,12,西,朝阳区,False,中原地产,https://example.com/listing/119,2025-12-11 20:56:45,四居及以上,西,中高价,小户型,低楼层
上海,优质2居室,6616,197.18288053282996,33.809251844758634,2,1,2,5,23,东北,南山区,False,我爱我家,https://example.com/listing/120,2025-12-11 20:56:45,2居,东北,低价,小户型,低楼层
深圳,优质2居室,18393,143.83247697990046,80.8002172983837,2,2,1,13,7,南北,浦东新区,True,我爱我家,https://example.com/listing/121,2025-12-11 20:56:45,2居,南北,高价,中等,高楼层
成都,优质1居室,12617,121.44588888146755,40.14784537166854,3,2,1,16,22,西南,朝阳区,False,链家,https://example.com/listing/122,2025-12-11 20:56:45,3居,西南,中高价,小户型,高楼层
广州,优质3居室,7752,100.80577277152182,102.8216346648167,2,2,1,16,25,南,海淀区,False,个人,https://example.com/listing/123,2025-12-11 20:56:45,2居,南,中低价,较大,中楼层
北京,优质3居室,11852,240.4495478444243,135.7167606767589,2,1,2,24,23,东,浦东新区,False,个人,https://example.com/listing/124,2025-12-11 20:56:45,2居,东,中高价,大户型,高楼层
深圳,优质2居室,8295,146.635126705757,135.94977798224664,2,2,1,3,23,南,武侯区,True,中原地产,https://example.com/listing/125,2025-12-11 20:56:45,2居,南,中低价,大户型,低楼层
成都,优质3居室,19456,177.8188655501878,109.08544921586788,3,2,1,22,19,东,朝阳区,True,麦田房产,https://example.com/listing/126,2025-12-11 20:56:45,3居,东,高价,较大,高楼层
深圳,优质1居室,5225,173.08137000029546,55.34781977675172,1,2,1,4,10,南北,南山区,True,麦田房产,https://example.com/listing/127,2025-12-11 20:56:45,1居,南北,低价,小户型,中楼层
成都,优质1居室,3316,194.31975730828282,133.55961976306463,2,2,1,11,20,西北,天府新区,True,链家,https://example.com/listing/128,2025-12-11 20:56:45,2居,西北,低价,大户型,中楼层
成都,优质1居室,14337,266.39428640613806,136.33121223758496,3,1,2,23,12,东北,南山区,True,我爱我家,https://example.com/listing/129,2025-12-11 20:56:45,3居,东北,中高价,大户型,高楼层
广州,优质3居室,8807,295.18483589585736,53.598430194355046,3,2,2,26,20,西,武侯区,True,链家,https://example.com/listing/130,2025-12-11 20:56:45,3居,西,中低价,小户型,高楼层
成都,优质3居室,5683,151.89605214345426,118.49113029248127,4,2,2,14,22,西北,武侯区,True,个人,https://example.com/listing/131,2025-12-11 20:56:45,四居及以上,西北,低价,较大,中楼层
深圳,优质3居室,9227,256.87973052657577,64.38234587125476,3,1,2,29,24,南,南山区,False,我爱我家,https://example.com/listing/132,2025-12-11 20:56:45,3居,南,中低价,中等,高楼层
成都,优质3居室,5273,241.13194866367942,126.31683748235156,1,1,1,3,20,南,天府新区,True,链家,https://example.com/listing/133,2025-12-11 20:56:45,1居,南,低价,大户型,低楼层
广州,优质3居室,2145,193.38223786389332,149.66854798843232,2,2,2,16,15,西,朝阳区,True,中原地产,https://example.com/listing/134,2025-12-11 20:56:45,2居,西,低价,大户型,高楼层
广州,优质1居室,7010,289.01178590298326,33.603120639527134,3,1,1,22,11,东北,浦东新区,True,个人,https://example.com/listing/135,2025-12-11 20:56:45,3居,东北,中低价,小户型,高楼层
深圳,优质2居室,18035,100.1186288821007,137.68390389491185,1,2,2,15,21,东,武侯区,True,麦田房产,https://example.com/listing/136,2025-12-11 20:56:45,1居,东,高价,大户型,高楼层
上海,优质1居室,5040,77.31605257740536,104.71566403183897,3,1,2,28,21,西北,武侯区,True,链家,https://example.com/listing/137,2025-12-11 20:56:45,3居,西北,低价,较大,高楼层
上海,优质3居室,11654,263.49049173885555,146.80591429977852,3,1,2,10,16,东北,武侯区,True,个人,https://example.com/listing/138,2025-12-11 20:56:45,3居,东北,中高价,大户型,中楼层
成都,优质1居室,18866,159.78745415843707,85.80114210317132,3,2,1,9,17,北,天府新区,True,个人,https://example.com/listing/139,2025-12-11 20:56:45,3居,北,高价,中等,中楼层
北京,优质3居室,19633,261.7422135517651,131.68655166856485,3,1,2,11,14,东南,海淀区,True,麦田房产,https://example.com/listing/140,2025-12-11 20:56:45,3居,东南,高价,大户型,高楼层
成都,优质3居室,19014,273.2725512988537,37.487288231793265,3,2,2,16,11,东,天府新区,True,麦田房产,https://example.com/listing/141,2025-12-11 20:56:45,3居,东,高价,小户型,高楼层
深圳,优质1居室,16996,65.61439840476785,70.23348600939548,1,1,2,10,18,北,朝阳区,True,麦田房产,https://example.com/listing/142,2025-12-11 20:56:45,1居,北,高价,中等,中楼层
深圳,优质3居室,18336,270.86619074651514,38.0419845301452,2,2,1,17,27,东,朝阳区,False,链家,https://example.com/listing/143,2025-12-11 20:56:45,2居,东,高价,小户型,中楼层
深圳,优质2居室,10853,162.07976384235553,147.04117601748845,2,1,2,19,5,东,朝阳区,True,麦田房产,https://example.com/listing/144,2025-12-11 20:56:45,2居,东,中低价,大户型,高楼层
